iter	Passed	Remaining
0	137	137337
1	139	69439
2	140	46745
3	141	35268
4	143	28501
5	144	23914
6	145	20653
7	147	18274
8	149	16416
9	150	14898
10	151	13648
11	153	12613
12	154	11719
13	155	10952
14	156	10293
15	157	9715
16	158	9188
17	159	8713
18	160	8307
19	161	7921
20	162	7595
21	164	7298
22	165	7024
23	166	6774
24	167	6551
25	168	6326
26	169	6121
27	170	5929
28	171	5753
29	172	5591
30	173	5437
31	174	5288
32	175	5149
33	176	5019
34	177	4895
35	178	4777
36	179	4662
37	180	4561
38	181	4462
39	181	4363
40	182	4266
41	183	4174
42	183	4084
43	184	3999
44	184	3919
45	185	3844
46	185	3771
47	186	3699
48	187	3631
49	187	3564
50	188	3500
51	188	3440
52	189	3382
53	189	3326
54	190	3271
55	191	3220
56	191	3171
57	192	3124
58	193	3080
59	193	3034
60	194	2990
61	194	2947
62	196	2916
63	196	2877
64	197	2839
65	198	2804
66	198	2768
67	199	2728
68	199	2694
69	200	2661
70	200	2629
71	201	2596
72	202	2565
73	202	2535
74	203	2506
75	203	2478
76	204	2452
77	205	2424
78	205	2398
79	206	2372
80	206	2347
81	207	2322
82	208	2299
83	208	2277
84	209	2253
85	209	2230
86	210	2206
87	210	2185
88	211	2165
89	212	2145
90	212	2126
91	213	2107
92	214	2088
93	214	2069
94	215	2051
95	215	2033
96	216	2015
97	217	1997
98	217	1979
99	218	1962
100	218	1946
101	218	1927
102	219	1911
103	220	1895
104	220	1880
105	221	1864
106	221	1849
107	222	1835
108	222	1821
109	223	1807
110	224	1794
111	224	1780
112	225	1767
113	225	1754
114	226	1741
115	226	1728
116	227	1715
117	227	1703
118	228	1690
119	228	1678
120	229	1666
121	230	1655
122	230	1642
123	230	1631
124	231	1620
125	231	1609
126	232	1598
127	232	1586
128	233	1576
129	234	1567
130	234	1557
131	235	1548
132	236	1538
133	236	1529
134	237	1519
135	237	1510
136	238	1501
137	238	1491
138	239	1482
139	239	1473
140	240	1464
141	241	1456
142	241	1448
143	242	1440
144	242	1432
145	243	1423
146	244	1416
147	244	1408
148	245	1400
149	245	1393
150	246	1385
151	247	1378
152	247	1370
153	248	1363
154	248	1356
155	249	1349
156	249	1342
157	250	1334
158	251	1327
159	251	1321
160	252	1314
161	252	1307
162	253	1301
163	254	1294
164	254	1288
165	255	1281
166	255	1275
167	256	1268
168	256	1262
169	257	1256
170	257	1250
171	258	1244
172	259	1238
173	259	1232
174	260	1226
175	260	1220
176	261	1215
177	261	1209
178	262	1204
179	263	1198
