iter	Passed	Remaining
0	140	140053
1	142	70904
2	143	47718
3	144	36033
4	145	28990
5	146	24318
6	148	20999
7	149	18480
8	150	16525
9	150	14943
10	151	13632
11	152	12542
12	152	11607
13	153	10814
14	154	10132
15	154	9528
16	155	9002
17	156	8528
18	157	8108
19	157	7728
20	158	7385
21	159	7073
22	159	6792
23	160	6527
24	161	6285
25	161	6060
26	162	5854
27	163	5661
28	163	5481
29	164	5313
30	165	5160
31	165	5016
32	166	4878
33	167	4746
34	167	4626
35	168	4512
36	169	4405
37	170	4304
38	171	4218
39	171	4123
40	172	4036
41	173	3950
42	173	3868
43	174	3790
44	175	3715
45	175	3643
46	176	3575
47	176	3507
48	177	3446
49	178	3387
50	178	3329
51	179	3273
52	180	3218
53	180	3166
54	181	3116
55	182	3069
56	182	3022
57	183	2979
58	184	2937
59	184	2896
60	185	2854
61	186	2815
62	186	2776
63	187	2739
64	188	2704
65	188	2669
66	189	2635
67	189	2602
68	190	2571
69	191	2540
70	191	2510
71	192	2482
72	193	2453
73	193	2425
74	194	2398
75	195	2372
76	195	2346
77	196	2321
78	197	2298
79	198	2277
80	198	2255
81	199	2233
82	199	2207
83	200	2185
84	201	2163
85	201	2142
86	202	2123
87	202	2103
88	203	2084
89	204	2065
90	204	2046
91	205	2028
92	206	2010
93	206	1993
94	207	1975
95	207	1958
96	208	1941
97	209	1925
98	209	1909
99	210	1894
100	211	1879
101	211	1865
102	212	1851
103	213	1839
104	214	1827
105	215	1814
106	215	1801
107	216	1787
108	217	1774
109	217	1762
110	218	1749
111	219	1737
112	219	1725
113	220	1713
114	221	1701
115	221	1689
116	222	1677
117	222	1666
118	223	1654
119	224	1643
120	224	1632
121	225	1620
122	225	1610
123	226	1599
124	227	1590
125	228	1582
126	228	1573
127	229	1564
128	230	1556
129	231	1546
130	231	1536
131	232	1527
132	232	1518
133	233	1508
134	234	1500
135	234	1492
136	235	1483
137	236	1474
138	236	1466
139	237	1457
140	237	1449
141	238	1440
142	238	1431
143	239	1424
144	240	1417
145	240	1409
146	241	1402
147	242	1396
148	243	1389
149	243	1381
150	244	1374
151	245	1367
152	245	1360
153	246	1352
154	246	1346
155	247	1339
156	248	1333
157	248	1326
158	249	1319
159	250	1313
160	250	1306
161	251	1299
162	251	1292
163	252	1286
164	253	1280
165	253	1274
166	254	1270
167	255	1265
168	256	1259
169	257	1255
170	257	1249
171	258	1244
172	259	1239
173	259	1233
174	260	1228
175	261	1224
176	262	1219
177	262	1213
178	263	1207
179	263	1202
180	264	1197
181	265	1191
182	265	1186
183	266	1181
184	267	1176
185	267	1171
186	268	1166
187	268	1161
188	269	1156
189	270	1151
190	270	1146
191	271	1141
192	272	1137
193	272	1133
194	273	1129
195	274	1124
196	274	1120
197	275	1116
198	276	1111
199	276	1107
200	277	1102
201	278	1098
202	278	1094
203	279	1089
204	279	1085
205	280	1081
206	281	1076
207	281	1072
208	282	1067
209	282	1064
210	283	1060
211	284	1055
212	284	1051
213	285	1048
214	285	1044
215	286	1040
216	287	1037
217	288	1033
218	288	1030
219	289	1026
220	290	1022
221	290	1019
222	291	1015
223	292	1011
224	292	1007
225	293	1003
226	293	1000
227	294	996
228	294	993
229	295	989
230	296	985
231	296	982
232	297	979
233	298	976
234	298	973
235	299	969
236	300	966
237	301	963
238	301	960
239	302	958
240	303	956
241	304	953
242	305	950
243	305	947
244	306	943
245	306	940
246	307	937
247	307	933
248	308	930
249	309	927
250	309	924
251	310	921
252	310	917
253	311	914
254	312	911
255	312	908
256	313	905
257	313	902
258	314	900
259	315	897
260	316	894
261	316	892
262	317	890
263	318	887
264	318	884
265	319	881
266	319	878
267	320	875
268	321	872
269	321	869
270	322	867
271	322	864
272	323	861
273	324	858
274	324	856
275	325	853
276	326	851
277	326	848
278	327	845
279	327	843
280	328	840
281	329	837
282	329	835
283	330	832
284	330	829
285	331	827
286	332	825
287	332	823
288	333	820
289	334	818
290	334	815
291	335	813
292	336	811
293	336	808
294	337	806
295	337	803
296	338	801
297	339	799
298	339	796
299	340	794
300	341	792
301	341	789
302	342	787
303	342	784
304	343	782
305	344	780
306	344	778
307	345	775
308	345	773
309	346	771
310	347	769
311	347	767
312	348	765
313	349	762
314	349	760
315	350	758
316	351	756
317	351	754
318	352	752
319	353	751
320	354	749
321	355	747
322	355	745
323	356	743
324	356	741
325	357	739
326	358	737
327	358	734
328	359	732
329	359	730
330	360	728
331	360	726
332	361	724
333	362	722
334	362	720
335	363	718
336	364	716
337	364	714
338	365	712
339	365	710
340	366	708
341	367	706
342	367	704
343	368	702
344	368	700
345	369	698
346	370	696
347	370	694
348	371	692
349	371	690
350	372	688
351	372	686
352	373	684
353	374	682
354	374	680
355	375	678
356	375	677
357	376	675
358	377	673
359	377	671
360	378	670
361	379	668
362	379	666
363	380	664
364	381	663
365	381	661
366	382	659
367	382	657
368	383	656
369	384	654
370	384	652
371	385	650
372	385	648
373	386	647
374	387	645
375	387	643
376	388	641
377	388	639
378	389	638
379	390	636
380	390	634
381	391	632
382	391	631
383	392	629
384	393	628
385	393	626
386	394	624
387	395	623
388	395	621
389	396	619
390	396	618
391	397	616
392	398	614
393	398	613
394	399	611
395	399	609
396	400	608
397	400	606
398	401	604
399	402	603
400	402	601
401	403	600
402	403	598
403	404	596
404	405	595
405	405	593
406	406	592
407	406	590
408	407	588
409	408	587
410	408	586
411	409	584
412	410	583
413	411	581
414	411	580
415	412	579
416	413	577
417	413	576
418	414	575
419	415	573
420	415	572
421	416	570
422	417	569
423	418	567
424	418	566
425	419	565
426	420	563
427	420	562
428	421	560
429	422	559
430	422	558
431	423	556
432	424	555
433	424	554
434	425	552
435	426	551
436	426	549
437	427	548
438	428	547
439	428	545
440	429	544
441	429	542
442	430	541
443	431	539
444	431	538
445	432	537
446	433	535
447	433	534
448	434	532
449	434	531
450	435	529
451	436	528
452	436	527
453	437	526
454	438	524
455	438	523
456	439	522
457	440	520
458	440	519
459	441	517
460	441	516
461	442	515
462	443	513
463	443	512
464	444	511
465	444	509
466	445	508
467	446	507
468	446	505
469	447	504
470	447	502
471	448	501
472	448	500
473	449	498
474	450	497
475	450	496
476	451	494
477	451	493
478	452	492
479	453	491
480	453	489
481	454	488
482	455	487
483	455	486
484	456	484
485	457	483
486	457	482
487	458	481
488	459	479
489	459	478
490	460	477
491	461	476
492	462	475
493	462	474
494	463	472
495	464	471
496	464	470
497	465	469
498	466	468
499	467	467
500	468	466
501	469	465
502	469	464
503	470	463
504	471	461
505	471	460
506	472	459
507	473	458
508	474	457
509	474	456
510	475	455
511	476	454
512	477	453
513	477	451
514	478	450
515	479	449
516	480	448
517	480	447
518	481	445
519	482	445
520	482	444
521	483	442
522	484	441
523	484	440
524	485	439
525	486	438
526	486	436
527	487	435
528	487	434
529	488	433
530	488	431
531	489	430
532	489	429
533	490	427
534	490	426
535	491	425
536	491	424
537	492	422
538	492	421
539	493	420
540	494	419
541	494	418
542	495	416
543	496	415
544	496	414
545	497	413
546	498	412
547	499	411
548	499	410
549	500	409
550	501	408
551	502	407
552	502	406
553	503	405
554	504	404
555	504	403
556	505	402
557	506	400
558	506	399
559	507	398
560	508	397
561	508	396
562	509	395
563	509	394
564	510	393
565	511	392
566	511	390
567	512	389
568	513	388
569	514	387
570	514	386
571	515	385
572	516	384
573	516	383
574	517	382
575	518	381
576	518	380
577	519	379
578	519	378
579	520	376
580	521	375
581	521	374
582	522	373
583	523	372
584	523	371
585	524	370
586	524	369
587	525	368
588	526	367
589	526	366
590	527	364
591	528	363
592	528	362
593	529	361
594	530	360
595	530	359
596	531	358
597	532	357
598	532	356
599	533	355
600	533	354
601	534	353
602	535	352
603	536	351
604	537	350
605	537	349
606	538	348
607	539	347
608	539	346
609	540	345
610	541	344
611	541	343
612	542	342
613	542	341
614	543	340
615	544	339
616	545	338
617	546	337
618	546	336
619	547	335
620	548	334
621	548	333
622	549	332
623	550	331
624	550	330
625	551	329
626	552	328
627	552	327
628	553	326
629	553	325
630	554	324
631	555	323
632	555	322
633	556	321
634	556	319
635	557	318
636	557	317
637	558	316
638	559	315
639	559	314
640	560	313
641	560	312
642	561	311
643	562	310
644	562	309
645	563	308
646	563	307
647	564	306
648	564	305
649	565	304
650	565	303
651	566	302
652	567	301
653	567	300
654	568	299
655	568	298
656	569	297
657	570	296
658	570	295
659	571	294
660	571	293
661	572	292
662	572	291
663	573	290
664	574	289
665	574	288
666	575	287
667	575	286
668	576	285
669	576	284
670	577	283
671	577	282
672	578	281
673	579	280
674	579	279
675	580	278
676	580	277
677	581	276
678	582	275
679	582	274
680	583	273
681	583	272
682	584	271
683	584	270
684	585	269
685	585	268
686	586	267
687	586	266
688	587	265
689	588	264
690	588	263
691	589	262
692	590	261
693	590	260
694	591	259
695	591	258
696	592	257
697	593	256
698	593	255
699	594	254
700	594	253
701	595	252
702	596	251
703	596	250
704	597	249
705	597	248
706	598	247
707	598	246
708	599	246
709	599	245
710	600	244
711	600	243
712	601	242
713	602	241
714	602	240
715	603	239
716	604	238
717	604	237
718	605	236
719	605	235
720	606	234
721	606	233
722	607	232
723	608	231
724	608	230
725	609	229
726	609	228
727	610	228
728	610	227
729	611	226
730	611	225
731	612	224
732	612	223
733	613	222
734	614	221
735	614	220
736	615	219
737	615	218
738	616	217
739	616	216
740	617	215
741	617	214
742	618	213
743	619	213
744	619	212
745	620	211
746	620	210
747	621	209
748	622	208
749	622	207
750	623	206
751	624	205
752	624	204
753	625	204
754	626	203
755	626	202
756	627	201
757	628	200
758	628	199
759	629	198
760	629	197
761	630	196
762	630	195
763	631	195
764	631	194
765	632	193
766	633	192
767	633	191
768	634	190
769	635	189
770	635	188
771	637	188
772	638	187
773	639	186
774	639	185
775	640	184
776	640	183
777	641	182
778	641	182
779	642	181
780	642	180
781	643	179
782	644	178
783	644	177
784	645	176
785	645	175
786	646	174
787	646	173
788	647	173
789	647	172
790	648	171
791	648	170
792	649	169
793	650	168
794	651	167
795	651	167
796	652	166
797	652	165
798	653	164
799	653	163
800	654	162
801	654	161
802	655	160
803	655	159
804	656	159
805	657	158
806	657	157
807	658	156
808	658	155
809	659	154
810	659	153
811	660	152
812	661	152
813	661	151
814	662	150
815	662	149
816	663	148
817	663	147
818	664	146
819	665	146
820	666	145
821	666	144
822	667	143
823	668	142
824	668	141
825	669	141
826	669	140
827	670	139
828	671	138
829	671	137
830	672	136
831	672	135
832	673	134
833	673	134
834	674	133
835	674	132
836	675	131
837	675	130
838	676	129
839	677	128
840	677	128
841	678	127
842	678	126
843	679	125
844	680	124
845	680	123
846	681	123
847	682	122
848	683	121
849	683	120
850	684	119
851	684	118
852	685	118
853	686	117
854	686	116
855	687	115
856	687	114
857	688	113
858	688	113
859	689	112
860	689	111
861	690	110
862	690	109
863	691	108
864	692	108
865	692	107
866	693	106
867	693	105
868	694	104
869	695	103
870	695	103
871	696	102
872	697	101
873	697	100
874	698	99
875	698	98
876	699	98
877	699	97
878	700	96
879	700	95
880	701	94
881	702	93
882	702	93
883	703	92
884	703	91
885	704	90
886	704	89
887	705	88
888	705	88
889	706	87
890	706	86
891	707	85
892	708	84
893	708	84
894	709	83
895	710	82
896	710	81
897	711	80
898	712	80
899	712	79
900	713	78
901	714	77
902	714	76
903	715	75
904	716	75
905	716	74
906	717	73
907	718	72
908	718	71
909	719	71
910	720	70
911	720	69
912	721	68
913	722	67
914	722	67
915	723	66
916	724	65
917	725	64
918	726	64
919	726	63
920	727	62
921	728	61
922	729	60
923	729	60
924	730	59
925	731	58
926	731	57
927	732	56
928	733	56
929	733	55
930	734	54
931	735	53
932	735	52
933	736	52
934	737	51
935	737	50
936	738	49
937	739	48
938	739	48
939	740	47
940	741	46
941	742	45
942	742	44
943	743	44
944	744	43
945	744	42
946	745	41
947	746	40
948	746	40
949	747	39
950	748	38
951	748	37
952	749	36
953	750	36
954	751	35
955	752	34
956	752	33
957	753	33
958	753	32
959	754	31
960	755	30
961	755	29
962	756	29
963	757	28
964	757	27
965	758	26
966	759	25
967	759	25
968	760	24
969	761	23
970	761	22
971	762	21
972	762	21
973	763	20
974	764	19
975	764	18
976	765	18
977	766	17
978	767	16
979	767	15
980	768	14
981	768	14
982	769	13
983	769	12
984	770	11
985	771	10
986	771	10
987	772	9
988	772	8
989	773	7
990	774	7
991	774	6
992	775	5
993	775	4
994	776	3
995	776	3
996	777	2
997	777	1
998	778	0
999	778	0
